Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Ostrinia zaguliaevi	Ostrinia zealis	Laboratory	Yes	Tabata, J; Ishikawa, Y.	2011	Genetic Basis Regulating the Sex Pheromone Blend in Ostrinia zealis (Lepidoptera: Crambidae) and Its Allies Inferred From Crossing Experiments
Gnathothlibus eras	Philodila astyanor	Field	Yes	Rougerie, R; Haxaire, J; Kitching, IJ; Hebert, PDN.	2012	DNA barcodes and morphology reveal a hybrid hawkmoth in Tahiti (Lepidoptera: Sphingidae)
Spodoptera littoralis	Spodoptera litura	Laboratory	Yes	Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M.	2014	Mate recognition and reproductive isolation in the sibling species Spodoptera littoralis and Spodoptera litura
Enantia albania	Enantia jethys	Field	Yes	Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN.	2018	Molecular evidence of hybridization in sympatric populations of the Enantia jethys complex (Lepidoptera: Pieridae)
Enantia albania	Enantia mazai	Field	Yes	Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN.	2018	Molecular evidence of hybridization in sympatric populations of the Enantia jethys complex (Lepidoptera: Pieridae)
Heliconius heurippa	Heliconius melpomene	Laboratory	Yes	Merot, C; Salazar, C; Merrill, RM; Jiggins, CD; Joron, M.	2017	What shapes the continuum of reproductive isolation? Lessons from Heliconius butterflies
Heliconius cydno	Heliconius heurippa	Laboratory	Yes	Merot, C; Salazar, C; Merrill, RM; Jiggins, CD; Joron, M.	2017	What shapes the continuum of reproductive isolation? Lessons from Heliconius butterflies
Papilio helenus	Papilio protenor	Field	Yes	SPERLING, FAH.	1990	NATURAL HYBRIDS OF PAPILIO (INSECTA, LEPIDOPTERA) - POOR TAXONOMY OR INTERESTING EVOLUTIONARY PROBLEM
Lycia hirtaria 	Nyssia zonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lycia hirtaria 	Poecilopsis isabellae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lycia hirtaria 	Poecilopsis pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lycia hirtaria	Poecilopsis lapponaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lycia hirtaria	Nyssia graecaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Nyssia zonaria	Poecilopsis isabellae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Nyssia zonaria	Poecilopsis lapponaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Nyssia zonaria	Poecilopsis pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Nyssia zonaria	Poecilopsis rachelae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Oporabia autumnata	Oporabia dilutata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Oporabia dilutata	Oporabia filigrammaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Oporabia autumnata	Oporabia filigrammaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Poecilopsis isabellae	Poecilopsis lapponaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Poecilopsis isabellae	Poecilopsis pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Poecilopsis lapponaria	Poecilopsis pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Selenia bilunaria	Selenia tetralunaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Thera obeliscata	Thera variata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Malacosoma franconica	Malacosoma neustria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Malacosoma castrensis	Malacosoma neustria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Phyllodesma ilicifolia	Phyllodesma tremulifolia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Orgyia antiqua	Orgyia thyellina	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Heliothis subblexa	Heliothis virescens	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Cerura erminea	Cerura vinula	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Clostera anachoreta	Clostera curtula	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Clostera anachoreta	Clostera pigra	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Clostera apicalis	Clostera pigra	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Clostera curtula	Clostera pigra	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Drepana curvatula	Drepana falcataria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Erebia cassioides	Erebia nivalis	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Erebia calcarius	Erebia cassioides	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Erebia calcarius	Erebia tyndarus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Erebia cassioides	Erebia tyndarus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Phyciodes batesii	Phyciodes tharos	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Phyciodes campestris	Phyciodes tharos	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Limenitis archippus	Limenitis lorquini	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Limenitis archippus	Limenitis weidemeyerii	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Heliconius cydno	Heliconius melponeme	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Heliconius cydno	Heliconius ismenius	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio aegeus	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
