Order	Sp1	Sp2	RI	Gen	Barrier
Odonata	Sympetrum risi	Sympetrum infuscatum	0.8	0.108391608391608	Oviposition
Odonata	Sympetrum rubicundulum	Sympetrum obtrusum	1	0.00743099787685775	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum sanguineum	Crocothemis erythraea	1	0.15814266487214	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum sanguineum	Sympetrum flaveolum	1	0.123100303951368	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum sanguineum	Sympetrum meridionale	1	0.110026041666667	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum sanguineum	Sympetrum striolatum	0.8	0.115234375	Oviposition
Odonata	Sympetrum sanguineum	Sympetrum vulgatum	1	0.115234375	Assortative Mating + 
Mechanical Isolation
Odonata	Sympetrum vulgatum	Sympetrum danae	0.6	0.124348958333333	Hybrid Inviability
Odonata	Sympetrum vulgatum	Sympetrum striolatum	0.6	0.0911458333333333	Hybrid Inviability
Odonata	Trigomphus interruptus	Trigomphus ogumai	1	0.00665188470066519	Assortative Mating + 
Mechanical Isolation
Lepidoptera	Busseola fusca	Busseola nairobica	1	0.0714285714285714	Assortative Mating + 
Mechanical Isolation
Lepidoptera	Busseola segeta	Busseola nairobica	1	0.0440729483282675	Assortative Mating + 
Mechanical Isolation
Lepidoptera	Colias eurytheme	Colias philodice	0	0	Fertile F1 Hybrids
Lepidoptera	Danaus erippus	Danaus plexippus	1	0.0353982300884956	Assortative Mating + 
Mechanical Isolation
Lepidoptera	Earias vittella	Earias insulana	0.8	0.0508221225710015	Oviposition
Lepidoptera	Heliconius elevatus	Heliconius pardalinus	1	0.00597609561752988	Assortative Mating + 
Mechanical Isolation
Lepidoptera	Heliconius erato	Heliconius himera	0	0.0401633764465623	Fertile F1 Hybrids
Lepidoptera	Malacosoma americanum	Malacosoma disstria	0.6	0.0641221374045802	Hybrid Inviability
Lepidoptera	Ostrinia furnacalis	Ostrinia nubilalis	0	0.0216110019646365	Fertile F1 Hybrids
Lepidoptera	Ostrinia furnacalis	Ostrinia scapulalis	0	0.0165118679050568	Fertile F1 Hybrids
Lepidoptera	Ostrinia nubilalis	Ostrinia scapulalis	0	0.00413223140495868	Fertile F1 Hybrids
Lepidoptera	Spodoptera exigua	Spodoptera litura	1	0.0674525212835625	Assortative Mating + 
Mechanical Isolation
