Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	RI	Barrier
Odonata	Libellula luctuosa	Tramea carolina	N	N	N	NA	NA	1	Assortative Mating
Odonata	Libellula pulchella	Libellula luctuosa	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Libellula semifasciata	Celithemis eponina	N	N	N	NA	NA	1	Assortative Mating
Odonata	Megalagrion eudytum	Megalagrion vagabundum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Megalagrion mauka	Megalagrion paludicola	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Megalagrion nesiotes	Megalagrion oahuense	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Megalagrion orobates	Megalagrion oresitrophum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Megalagrion xanthomelas	Megalagrion pacificum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Mnais costalis	Mnais pruinosa	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Nehalennia gracilis	Nehalennia irene	N	N	N	NA	NA	1	Assortative Mating
Odonata	Onychogomphus forcipatus	Onychogomphus uncatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ophiogomphus carolus	Phanogomphus lividus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ophiogomphus rupinsulensis	Ophiogomphus carolus	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ophiogomphus severus	Ophiogomphus occidentis	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Orthetrum albistylum	Orthetrum poecilops	N	N	N	NA	NA	1	Assortative Mating
Odonata	Orthetrum albistylum	Orthetrum triangulare	N	N	N	NA	NA	1	Assortative Mating
Odonata	Orthetrum brunneum	Onychogomphus forcipatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Orthetrum cancellatum	Orthetrum albistylum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Paracercion melanotum	Paracercion plagiosum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Phanogomphus exilis	Phanogomphus spicatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Phanogomphus graslinellus	Gomphus lividus	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Phanogomphus graslinellus	Phanogomphus lividus	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Platycnemis pennipes	Coenagrion puella	N	N	N	NA	NA	1	Assortative Mating
Odonata	Platycnemis pennipes	Platycnemis acutipennis	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Pseudagrion rubriceps	Pseudagrion microcephalum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Pyrrhosoma nymphula	Coenagrion lunulatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Pyrrhosoma nymphula	Coenagrion mercuriale	N	N	N	NA	NA	1	Assortative Mating
Odonata	Pyrrhosoma nymphula	Coenagrion puella	N	N	N	NA	NA	1	Assortative Mating
Odonata	Pyrrhosoma nymphula	Ischnura pumilio	N	N	N	NA	NA	1	Assortative Mating
Odonata	Pyrrhosoma nymphula	Lestes barbarus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Pyrrhosoma nymphula	Sympecma fusca	N	N	N	NA	NA	1	Assortative Mating
Odonata	Somatochlora albicincta	Somatochlora hudsonica	N	N	N	NA	NA	1	Assortative Mating
Odonata	Somatochlora sahlbergi	Somatochlora albicinta	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Somatochlora sahlbergi	Somatochlora hudsonica	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Stylurus plagiatus	Dromogomphus armatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympecma fusca	Sympecma paedisca	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum croceolum	Sympetrum uniforme	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum danae	Sympetrum sanguineum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum darwinianum	Sympetrum maculatum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum depressiusculum	Crocothemis erythraea	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Libellula fulva	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Onychogomphus uncatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Orthetrum albistylum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Orthetrum cancellatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Oxygastra curtisii	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Sympetrum fonscolombii	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum depressiusculum	Sympetrum frequens	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum eroticum	Sympetrum baccha	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum eroticum	Sympetrum darwinianum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum eroticum	Sympetrum parvulum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum eroticum	Sympetrum pedemontanum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum frequens	Pantala flavescens	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum frequens	Sympetrum infuscatum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Sympetrum infuscatum	Sympetrum maculatum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Sympetrum internum	Sympetrum rubicundulum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Sympetrum kunckeli	Sympetrum darwinianum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Sympetrum kunckeli	Sympetrum eroticum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Sympetrum meridionale	Sympetrum striolatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum obtrusum	Sympetrum danae	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum risi	Sympetrum eroticum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum risi	Sympetrum infuscatum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Sympetrum rubicundulum	Sympetrum obtrusum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum sanguineum	Crocothemis erythraea	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum sanguineum	Sympetrum flaveolum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum sanguineum	Sympetrum meridionale	N	N	N	NA	NA	1	Assortative Mating
