Order	Family	Sp1	Sp2	Condition	Reference
Lepidoptera	Papilionidae	Papilio machaon	Papilio maackii	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio machaon	Papilio macilentus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio machaon	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio machaon	Papilio polyxenes	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio machaon	Papilio protenor	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio machaon	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio machaon	Papilio zelicaon	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio macilentus	Papilio memnon	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio macilentus	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio memnon	Papilio polymnestor	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio memnon	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio memnon	Papilio rumanzovia	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio memnon	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio multicaudatus	Papilio rutulus	Field	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio nephelus	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio palamedes	Papilio scamander	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio paris	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio polymnestor	Papilio rumanzovia	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio polytes	Papilio polytes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio polytes	Papilio protenor	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio polyxenes	Papilio machaon	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio polyxenes	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio polyxenes	Papilio zelicaon	Laboratory	Scriber, JM, 2007
Lepidoptera	Papilionidae	Papilio protenor	Papilio xuthus	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Papilio zelicaon	Papilio polyxenes	Laboratory	Presgraves, DC, 2002
Lepidoptera	Papilionidae	Parnassius apollo	Parnassius phoebus	Field	DESCIMON, H; GEIGER, H, 1988
